bar_type,trade_date,day_bar,start_time,end_time,open,high,low,close,volume,turnover,minutes,partial
5min_time,2024-01-02,0,2024-01-02 09:30:00,2024-01-02 09:34:00,3418.21,3418.21,3408.22,3408.22,956748600.0,16230755400.0,5,False
5min_time,2024-01-02,1,2024-01-02 09:35:00,2024-01-02 09:39:00,3405.16,3409.78,3405.16,3409.78,669633100.0,10838133800.0,5,False
5min_time,2024-01-02,2,2024-01-02 09:40:00,2024-01-02 09:44:00,3410.28,3410.28,3407.31,3407.56,471155200.0,8403104300.0,5,False
5min_time,2024-01-02,3,2024-01-02 09:45:00,2024-01-02 09:49:00,3409.14,3409.14,3406.24,3406.75,574595800.0,8595248300.0,5,False
5min_time,2024-01-02,4,2024-01-02 09:50:00,2024-01-02 09:54:00,3407.01,3407.01,3401.61,3401.8,480375000.0,8087304400.0,5,False
5min_time,2024-01-02,5,2024-01-02 09:55:00,2024-01-02 09:59:00,3402.71,3406.69,3402.71,3406.04,422291200.0,6191601800.0,5,False
5min_time,2024-01-02,6,2024-01-02 10:00:00,2024-01-02 10:04:00,3406.93,3410.62,3406.93,3410.62,394717600.0,6204184200.0,5,False
5min_time,2024-01-02,7,2024-01-02 10:05:00,2024-01-02 10:09:00,3411.73,3411.73,3408.22,3408.22,314046200.0,5046436600.0,5,False
5min_time,2024-01-02,8,2024-01-02 10:10:00,2024-01-02 10:14:00,3405.67,3405.67,3404.35,3404.35,285378900.0,4613507400.0,5,False
5min_time,2024-01-02,9,2024-01-02 10:15:00,2024-01-02 10:19:00,3404.45,3405.01,3404.1,3404.1,257883700.0,4121529200.0,5,False
5min_time,2024-01-02,10,2024-01-02 10:20:00,2024-01-02 10:24:00,3401.9,3401.9,3399.68,3400.89,278922100.0,4168519600.0,5,False
5min_time,2024-01-02,11,2024-01-02 10:25:00,2024-01-02 10:29:00,3400.57,3402.84,3400.57,3401.18,210334400.0,3304465900.0,5,False
5min_time,2024-01-02,12,2024-01-02 10:30:00,2024-01-02 10:34:00,3399.51,3401.57,3399.51,3401.57,204060800.0,3382421100.0,5,False
5min_time,2024-01-02,13,2024-01-02 10:35:00,2024-01-02 10:39:00,3402.06,3403.01,3400.8,3400.8,163933700.0,2800025500.0,5,False
5min_time,2024-01-02,14,2024-01-02 10:40:00,2024-01-02 10:44:00,3400.87,3401.21,3400.4,3401.21,162994400.0,2619736400.0,5,False
5min_time,2024-01-02,15,2024-01-02 10:45:00,2024-01-02 10:49:00,3400.01,3400.01,3398.41,3398.41,169350400.0,2778681300.0,5,False
5min_time,2024-01-02,16,2024-01-02 10:50:00,2024-01-02 10:54:00,3397.6,3397.6,3395.43,3395.43,180639400.0,2825646600.0,5,False
5min_time,2024-01-02,17,2024-01-02 10:55:00,2024-01-02 10:59:00,3394.43,3394.43,3392.69,3393.57,219788600.0,3051935200.0,5,False
5min_time,2024-01-02,18,2024-01-02 11:00:00,2024-01-02 11:04:00,3394.73,3395.0,3394.3,3394.3,137561000.0,2139998800.0,5,False
5min_time,2024-01-02,19,2024-01-02 11:05:00,2024-01-02 11:09:00,3393.92,3396.35,3393.77,3396.35,138225100.0,2230222200.0,5,False
5min_time,2024-01-02,20,2024-01-02 11:10:00,2024-01-02 11:14:00,3395.91,3396.48,3395.81,3395.93,131362900.0,2014995100.0,5,False
5min_time,2024-01-02,21,2024-01-02 11:15:00,2024-01-02 11:19:00,3396.45,3397.85,3396.45,3396.56,114360900.0,1919850900.0,5,False
5min_time,2024-01-02,22,2024-01-02 11:20:00,2024-01-02 11:24:00,3396.02,3396.02,3394.2,3395.14,124642600.0,2056496800.0,5,False
5min_time,2024-01-02,23,2024-01-02 11:25:00,2024-01-02 11:29:00,3394.77,3394.77,3393.87,3393.87,116380000.0,1779977400.0,5,False
5min_time,2024-01-02,24,2024-01-02 11:30:00,2024-01-02 13:03:00,3393.88,3394.94,3393.27,3394.94,171610600.0,2798696000.0,5,False
5min_time,2024-01-02,25,2024-01-02 13:04:00,2024-01-02 13:08:00,3395.23,3400.15,3395.23,3400.15,200469900.0,2665814400.0,5,False
5min_time,2024-01-02,26,2024-01-02 13:09:00,2024-01-02 13:13:00,3398.98,3398.98,3398.16,3398.37,163256500.0,2415076100.0,5,False
5min_time,2024-01-02,27,2024-01-02 13:14:00,2024-01-02 13:18:00,3397.62,3397.62,3395.99,3396.46,158020400.0,2404611700.0,5,False
5min_time,2024-01-02,28,2024-01-02 13:19:00,2024-01-02 13:23:00,3395.08,3395.59,3394.76,3394.82,154232700.0,2427232400.0,5,False
5min_time,2024-01-02,29,2024-01-02 13:24:00,2024-01-02 13:28:00,3395.21,3397.89,3395.21,3397.89,158680500.0,2419693500.0,5,False
5min_time,2024-01-02,30,2024-01-02 13:29:00,2024-01-02 13:33:00,3398.32,3398.32,3396.35,3396.35,172838100.0,2723640600.0,5,False
5min_time,2024-01-02,31,2024-01-02 13:34:00,2024-01-02 13:38:00,3397.05,3397.05,3396.61,3396.71,153170900.0,2324961400.0,5,False
5min_time,2024-01-02,32,2024-01-02 13:39:00,2024-01-02 13:43:00,3396.64,3397.29,3396.59,3396.59,161620700.0,2385573100.0,5,False
5min_time,2024-01-02,33,2024-01-02 13:44:00,2024-01-02 13:48:00,3396.98,3397.5,3396.85,3397.04,170480600.0,2498777600.0,5,False
5min_time,2024-01-02,34,2024-01-02 13:49:00,2024-01-02 13:53:00,3396.71,3396.71,3395.79,3395.97,172514100.0,2689525900.0,5,False
5min_time,2024-01-02,35,2024-01-02 13:54:00,2024-01-02 13:58:00,3396.45,3397.39,3395.98,3396.01,159323000.0,2535069200.0,5,False
5min_time,2024-01-02,36,2024-01-02 13:59:00,2024-01-02 14:03:00,3396.58,3397.1,3394.74,3394.74,185795600.0,2782922200.0,5,False
5min_time,2024-01-02,37,2024-01-02 14:04:00,2024-01-02 14:08:00,3393.96,3394.78,3393.56,3394.78,179451500.0,2863784400.0,5,False
5min_time,2024-01-02,38,2024-01-02 14:09:00,2024-01-02 14:13:00,3395.14,3396.43,3395.14,3396.25,158782800.0,2376215600.0,5,False
5min_time,2024-01-02,39,2024-01-02 14:14:00,2024-01-02 14:18:00,3396.18,3396.18,3393.9,3393.93,170597900.0,2721415100.0,5,False
5min_time,2024-01-02,40,2024-01-02 14:19:00,2024-01-02 14:23:00,3393.63,3393.75,3392.7,3392.7,167738100.0,2726831500.0,5,False
5min_time,2024-01-02,41,2024-01-02 14:24:00,2024-01-02 14:28:00,3392.3,3392.92,3390.06,3390.06,208892000.0,3292599700.0,5,False
5min_time,2024-01-02,42,2024-01-02 14:29:00,2024-01-02 14:33:00,3390.97,3393.54,3390.97,3392.78,185054100.0,2937051300.0,5,False
5min_time,2024-01-02,43,2024-01-02 14:34:00,2024-01-02 14:38:00,3392.18,3393.66,3391.66,3391.66,198143300.0,2863301800.0,5,False
5min_time,2024-01-02,44,2024-01-02 14:39:00,2024-01-02 14:43:00,3391.26,3391.9,3390.12,3390.12,211977700.0,3365525600.0,5,False
5min_time,2024-01-02,45,2024-01-02 14:44:00,2024-01-02 14:48:00,3389.68,3389.68,3387.33,3387.33,245512800.0,3914644800.0,5,False
5min_time,2024-01-02,46,2024-01-02 14:49:00,2024-01-02 14:53:00,3388.03,3389.46,3387.96,3388.32,225629900.0,3740000900.0,5,False
5min_time,2024-01-02,47,2024-01-02 14:54:00,2024-01-02 14:58:00,3387.51,3387.92,3387.46,3387.75,185478300.0,2984935100.0,5,False
5min_time,2024-01-02,48,2024-01-02 14:59:00,2024-01-02 15:00:00,3387.75,3387.75,3386.35,3386.35,119419000.0,1833419300.0,2,True
5min_time,2024-01-03,0,2024-01-03 09:30:00,2024-01-03 09:34:00,3380.52,3391.65,3380.52,3389.68,784315700.0,12400361300.0,5,False
5min_time,2024-01-03,1,2024-01-03 09:35:00,2024-01-03 09:39:00,3390.32,3390.32,3384.49,3384.49,415488100.0,7478672400.0,5,False
5min_time,2024-01-03,2,2024-01-03 09:40:00,2024-01-03 09:44:00,3382.32,3383.72,3381.0,3382.27,314300800.0,5431492200.0,5,False
5min_time,2024-01-03,3,2024-01-03 09:45:00,2024-01-03 09:49:00,3382.26,3386.11,3382.26,3386.11,351683000.0,5225249200.0,5,False
5min_time,2024-01-03,4,2024-01-03 09:50:00,2024-01-03 09:54:00,3389.06,3390.52,3387.51,3388.85,350107900.0,5112260400.0,5,False
5min_time,2024-01-03,5,2024-01-03 09:55:00,2024-01-03 09:59:00,3387.56,3387.56,3383.98,3383.98,303136100.0,4807827100.0,5,False
5min_time,2024-01-03,6,2024-01-03 10:00:00,2024-01-03 10:04:00,3383.96,3385.51,3382.07,3383.66,330713900.0,5313058600.0,5,False
5min_time,2024-01-03,7,2024-01-03 10:05:00,2024-01-03 10:09:00,3383.06,3383.39,3381.28,3381.28,344178700.0,4961521200.0,5,False
5min_time,2024-01-03,8,2024-01-03 10:10:00,2024-01-03 10:14:00,3378.22,3378.22,3376.2,3376.6,299331300.0,4810066900.0,5,False
5min_time,2024-01-03,9,2024-01-03 10:15:00,2024-01-03 10:19:00,3376.06,3376.06,3373.79,3374.55,252473300.0,3948455400.0,5,False
5min_time,2024-01-03,10,2024-01-03 10:20:00,2024-01-03 10:24:00,3373.78,3376.96,3373.78,3375.71,197661300.0,3162733300.0,5,False
