bar_type,trade_date,day_bar,start_time,end_time,open,high,low,close,volume,turnover,minutes,partial
turnover,2024-01-02,0,2024-01-02 09:30:00,2024-01-02 09:30:00,3418.21,3418.21,3418.21,3418.21,386618200.0,6539228100.0,1,False
turnover,2024-01-02,1,2024-01-02 09:31:00,2024-01-02 09:32:00,3416.04,3416.04,3414.41,3414.41,296902500.0,5069177700.0,2,False
turnover,2024-01-02,2,2024-01-02 09:33:00,2024-01-02 09:34:00,3409.35,3409.35,3408.22,3408.22,273227900.0,4622349600.0,2,False
turnover,2024-01-02,3,2024-01-02 09:35:00,2024-01-02 09:36:00,3405.16,3407.4,3405.16,3407.4,301555500.0,4928413500.0,2,False
turnover,2024-01-02,4,2024-01-02 09:37:00,2024-01-02 09:38:00,3406.0,3408.61,3406.0,3408.61,253632000.0,4207473700.0,2,False
turnover,2024-01-02,5,2024-01-02 09:39:00,2024-01-02 09:41:00,3409.78,3410.28,3409.78,3410.11,310623100.0,5039328400.0,3,False
turnover,2024-01-02,6,2024-01-02 09:42:00,2024-01-02 09:44:00,3408.99,3408.99,3407.31,3407.56,274977700.0,5066022500.0,3,False
turnover,2024-01-02,7,2024-01-02 09:45:00,2024-01-02 09:47:00,3409.14,3409.14,3406.24,3406.24,370571100.0,5426493200.0,3,False
turnover,2024-01-02,8,2024-01-02 09:48:00,2024-01-02 09:50:00,3406.67,3407.01,3406.67,3407.01,353786600.0,5170725100.0,3,False
turnover,2024-01-02,9,2024-01-02 09:51:00,2024-01-02 09:53:00,3405.38,3405.38,3401.61,3401.61,243144400.0,4450226100.0,3,False
turnover,2024-01-02,10,2024-01-02 09:54:00,2024-01-02 09:56:00,3401.8,3403.12,3401.8,3403.12,304704000.0,4630670100.0,3,False
turnover,2024-01-02,11,2024-01-02 09:57:00,2024-01-02 10:00:00,3406.69,3406.93,3406.04,3406.93,314715600.0,4679740100.0,4,False
turnover,2024-01-02,12,2024-01-02 10:01:00,2024-01-02 10:04:00,3408.39,3410.62,3408.39,3410.62,285057900.0,4720484100.0,4,False
turnover,2024-01-02,13,2024-01-02 10:05:00,2024-01-02 10:08:00,3411.73,3411.73,3409.08,3409.08,253147100.0,4106916300.0,4,False
turnover,2024-01-02,14,2024-01-02 10:09:00,2024-01-02 10:12:00,3408.22,3408.22,3405.48,3405.48,246795200.0,3964079500.0,4,False
turnover,2024-01-02,15,2024-01-02 10:13:00,2024-01-02 10:17:00,3404.69,3405.01,3404.35,3405.01,257060100.0,4083410600.0,5,False
turnover,2024-01-02,16,2024-01-02 10:18:00,2024-01-02 10:22:00,3404.19,3404.19,3401.46,3401.77,249692700.0,4043902900.0,5,False
turnover,2024-01-02,17,2024-01-02 10:23:00,2024-01-02 10:28:00,3399.68,3402.84,3399.68,3402.79,302182600.0,4347804100.0,6,False
turnover,2024-01-02,18,2024-01-02 10:29:00,2024-01-02 10:34:00,3401.18,3401.57,3399.51,3401.57,241748400.0,4090766400.0,6,False
turnover,2024-01-02,19,2024-01-02 10:35:00,2024-01-02 10:41:00,3402.06,3403.01,3400.56,3400.56,231401700.0,3872354400.0,7,False
turnover,2024-01-02,20,2024-01-02 10:42:00,2024-01-02 10:49:00,3400.8,3401.21,3398.41,3398.41,264876800.0,4326088800.0,8,False
